Row ID,Order Date,Customer Name,Segment,State,Category,Sub-Category,Product Name,Sales,Quantity,Discount
1,11/8/2018,Claire Gute,Consumer,Kentucky,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0
2,11/8/2016,Claire Gute,Consumer,Kentucky,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back,731.94,3,0
3,6/12/2016,Darrin Van Huff,Corporate,California,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0
4,10/11/2015,Sean O'Donnell,Consumer,Florida,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45
5,10/11/2015,Sean O'Donnell,Consumer,Florida,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2
6,6/9/2014,Brosina Hoffman,Consumer,California,Furniture,Furnishings,Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood,48.86,7,0
7,6/9/2014,Brosina Hoffman,Consumer,California,Office Supplies,Art,Newell 322,7.28,4,0
8,6/9/2014,Brosina Hoffman,Consumer,California,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2
9,6/9/2014,Brosina Hoffman,Consumer,California,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2
10,6/9/2014,Brosina Hoffman,Consumer,California,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0
11,6/9/2014,Brosina Hoffman,Consumer,California,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2
12,6/9/2014,Brosina Hoffman,Consumer,California,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2
13,4/15/2017,Andrew Allen,Consumer,North Carolina,Office Supplies,Paper,Xerox 1967,15.552,3,0.2
14,12/5/2016,Irene Maddox,Consumer,Washington,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2
15,11/22/2015,Harold Pawlan,Home Office,Texas,Office Supplies,Appliances,Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter,68.81,5,0.8
16,11/22/2015,Harold Pawlan,Home Office,Texas,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8
17,11/11/2014,Pete Kriz,Consumer,Wisconsin,Office Supplies,Storage,Stur-D-Stor Shelving, Vertical 5-Shelf: 72"H x 36"W x 18 1/2"D,665.88,6,0
18,5/13/2014,Alejandro Grove,Consumer,Utah,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0
19,8/27/2014,Zuschuss Donatelli,Consumer,California,Office Supplies,Art,Newell 341,8.56,2,0
20,8/27/2014,Zuschuss Donatelli,Consumer,California,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2
21,8/27/2014,Zuschuss Donatelli,Consumer,California,Office Supplies,Binders,Wilson Jones Hanging View Binder, White, 1",22.72,4,0.2
22,12/9/2016,Ken Black,Corporate,Nebraska,Office Supplies,Art,Newell 318,19.46,7,0
23,12/9/2016,Ken Black,Corporate,Nebraska,Office Supplies,Appliances,Acco Six-Outlet Power Strip, 4' Cord Length,60.34,7,0
24,7/16/2017,Sandra Flanagan,Consumer,Pennsylvania,Furniture,Chairs,Global Deluxe Stacking Chair, Gray,71.372,2,0.3
25,9/25/2015,Emily Burns,Consumer,Utah,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0
26,1/16/2016,Eric Hoffmann,Consumer,California,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2
27,1/16/2016,Eric Hoffmann,Consumer,California,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0
28,9/17/2015,Tracy Blumstein,Consumer,Pennsylvania,Furniture,Bookcases,Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish,3083.43,7,0.5
29,9/17/2015,Tracy Blumstein,Consumer,Pennsylvania,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7
30,9/17/2015,Tracy Blumstein,Consumer,Pennsylvania,Furniture,Furnishings,Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock,124.2,3,0.2
31,9/17/2015,Tracy Blumstein,Consumer,Pennsylvania,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2
32,9/17/2015,Tracy Blumstein,Consumer,Pennsylvania,Office Supplies,Art,BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain,86.304,6,0.2
33,9/17/2015,Tracy Blumstein,Consumer,Pennsylvania,Office Supplies,Binders,Acco Pressboard Covers with Storage Hooks, 14 7/8" x 11", Executive Red,6.858,6,0.7
34,9/17/2015,Tracy Blumstein,Consumer,Pennsylvania,Office Supplies,Art,Lumber Crayons,15.76,2,0.2
35,10/19/2017,Matt Abelman,Home Office,Texas,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2
36,12/8/2016,Gene Hale,Corporate,Texas,Technology,Phones,GE 30524EE4,1097.544,7,0.2
37,12/8/2016,Gene Hale,Corporate,Texas,Furniture,Furnishings,Electrix Architect's Clamp-On Swing Arm Lamp, Black,190.92,5,0.6
38,12/27/2015,Steve Nguyen,Home Office,Texas,Office Supplies,Envelopes,#10-4 1/8" x 9 1/2" Premium Diagonal Seam Envelopes,113.328,9,0.2
39,12/27/2015,Steve Nguyen,Home Office,Texas,Furniture,Bookcases,Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors,532.3992,3,0.32
